# OGLE-IV V-band filter
# Asahi Spectra Co., Ltd
# measurements in 9 spots on the filter
#
#        1              2                 3             4         5         6         7         8         9        10        11        12              13         14
# wavelength[A]   mean_transmission  standard_dev     spot1     spot2     spot3     spot4     spot5     spot6     spot7     spot8     spot9          minimal    maximal 
#
      4875.99       0.253525          0.045001      0.210753  0.290323  0.208602  0.329032  0.232258  0.277419  0.219355  0.307527  0.206452         0.206452   0.329032
      4888.32       0.366013          0.062868      0.304622  0.418067  0.302521  0.464286  0.340336  0.403361  0.319328  0.445378  0.296218         0.296218   0.464286
      4900.66       0.518295          0.073795      0.441767  0.576305  0.441767  0.632530  0.493976  0.562249  0.469880  0.612450  0.433735         0.433735   0.632530
      4912.99       0.668955          0.065295      0.602996  0.713483  0.599251  0.767790  0.646067  0.711610  0.631086  0.756554  0.591760         0.591760   0.767790
      4925.33       0.786325          0.045078      0.734266  0.814685  0.736014  0.854895  0.776224  0.812937  0.762238  0.847902  0.737762         0.734266   0.854895
      4937.67       0.852221          0.025601      0.820896  0.855721  0.820896  0.888889  0.852405  0.860697  0.847430  0.895522  0.827529         0.820896   0.895522
      4950.01       0.877671          0.014938      0.860577  0.863782  0.862179  0.899038  0.879808  0.873397  0.881410  0.905449  0.873397         0.860577   0.905449
      4962.35       0.881563          0.015401      0.866562  0.861852  0.866562  0.896389  0.886970  0.871272  0.891680  0.910518  0.882261         0.861852   0.910518
      4974.69       0.884281          0.016369      0.863287  0.867896  0.869432  0.903226  0.886329  0.878648  0.894009  0.915515  0.880184         0.863287   0.915515
      4987.03       0.897309          0.016523      0.875186  0.884101  0.881129  0.915305  0.900446  0.894502  0.904903  0.930163  0.890045         0.875186   0.930163
      4999.38       0.912472          0.014544      0.891738  0.903134  0.897436  0.928775  0.914530  0.911681  0.920228  0.940171  0.904558         0.891738   0.940171
      5011.72       0.929252          0.009491      0.914286  0.923810  0.919728  0.940136  0.930612  0.929252  0.933333  0.946939  0.925170         0.914286   0.946939
      5024.07       0.943941          0.006098      0.931436  0.940492  0.939198  0.952135  0.945666  0.945666  0.945666  0.952135  0.943079         0.931436   0.952135
      5036.42       0.948854          0.003329      0.942613  0.945055  0.947497  0.953602  0.951160  0.949939  0.947497  0.949939  0.952381         0.942613   0.953602
      5048.77       0.954990          0.002343      0.953704  0.953704  0.954861  0.954861  0.956019  0.954861  0.951389  0.954861  0.960648         0.951389   0.960648
      5061.12       0.957527          0.002354      0.957284  0.957284  0.958379  0.958379  0.958379  0.956188  0.955093  0.953998  0.962760         0.953998   0.962760
      5073.47       0.960450          0.002170      0.962422  0.959290  0.962422  0.960334  0.960334  0.959290  0.957203  0.958246  0.964509         0.957203   0.964509
      5085.83       0.962227          0.002247      0.963221  0.961233  0.964215  0.961233  0.962227  0.961233  0.960239  0.959245  0.967197         0.959245   0.967197
      5098.18       0.962264          0.002983      0.965094  0.963208  0.965094  0.960377  0.962264  0.961321  0.958491  0.957547  0.966981         0.957547   0.966981
      5110.54       0.959389          0.003399      0.961573  0.959786  0.964254  0.956211  0.957998  0.959786  0.957105  0.953530  0.964254         0.953530   0.964254
      5122.89       0.956007          0.003825      0.958545  0.957699  0.960237  0.950931  0.956007  0.956853  0.953469  0.949239  0.961083         0.949239   0.961083
      5135.25       0.952700          0.004033      0.955823  0.954217  0.955823  0.950201  0.952610  0.953414  0.947791  0.945382  0.959036         0.945382   0.959036
      5147.61       0.949580          0.003962      0.953400  0.951872  0.952636  0.950344  0.950344  0.948816  0.943468  0.941940  0.953400         0.941940   0.953400
      5159.97       0.946218          0.003513      0.949927  0.948476  0.947750  0.948476  0.946299  0.944122  0.939768  0.941219  0.949927         0.939768   0.949927
      5172.34       0.945212          0.003974      0.948204  0.948895  0.944061  0.950967  0.945442  0.940608  0.938536  0.941989  0.948204         0.938536   0.950967
      5184.70       0.945028          0.004314      0.947438  0.948095  0.942838  0.953351  0.945466  0.939553  0.938239  0.944152  0.946124         0.938239   0.953351
      5197.06       0.948927          0.005003      0.951845  0.953096  0.943715  0.958099  0.949969  0.942464  0.942464  0.950594  0.948093         0.942464   0.958099
      5209.43       0.954190          0.004796      0.955251  0.957637  0.949284  0.963007  0.954654  0.947494  0.948687  0.958234  0.953461         0.947494   0.963007
      5221.80       0.959498          0.004303      0.961209  0.962350  0.954934  0.966343  0.959498  0.952082  0.956075  0.964062  0.958928         0.952082   0.966343
      5234.17       0.965770          0.003279      0.966739  0.966739  0.962923  0.970556  0.967285  0.959106  0.964013  0.969466  0.965104         0.959106   0.970556
      5246.54       0.967915          0.002327      0.967742  0.967742  0.967222  0.969823  0.969303  0.962019  0.967742  0.970343  0.969303         0.962019   0.970343
      5258.91       0.970015          0.002367      0.970015  0.968016  0.971014  0.970015  0.971514  0.964518  0.972014  0.970015  0.973013         0.964518   0.973013
      5271.28       0.969823          0.002267      0.970250  0.967850  0.972649  0.968810  0.970250  0.965451  0.971209  0.968810  0.973129         0.965451   0.973129
      5283.65       0.968027          0.002428      0.968232  0.965930  0.971455  0.966390  0.969153  0.964549  0.969613  0.965470  0.971455         0.964549   0.971455
      5296.03       0.966269          0.002292      0.966416  0.964207  0.969510  0.965532  0.967742  0.964207  0.966858  0.962439  0.969510         0.962439   0.969510
      5308.41       0.966719          0.002021      0.966483  0.964786  0.969453  0.966907  0.967756  0.966483  0.965634  0.963089  0.969877         0.963089   0.969877
      5320.78       0.968455          0.002116      0.968546  0.967320  0.969771  0.970588  0.970180  0.967729  0.965686  0.964869  0.971405         0.964869   0.971405
      5333.16       0.970141          0.002350      0.970577  0.968223  0.972146  0.972931  0.971361  0.969792  0.967046  0.966261  0.972931         0.966261   0.972931
      5345.54       0.971207          0.002102      0.972505  0.969115  0.972128  0.972881  0.972128  0.970621  0.968362  0.968362  0.974765         0.968362   0.974765
      5357.92       0.971900          0.002086      0.973551  0.969203  0.972826  0.973913  0.972464  0.970290  0.969928  0.969565  0.975362         0.969203   0.975362
      5370.31       0.971048          0.002483      0.973454  0.967517  0.973105  0.972057  0.971359  0.968914  0.969612  0.968215  0.975201         0.967517   0.975201
      5382.69       0.969302          0.002198      0.971024  0.965633  0.971361  0.969340  0.969003  0.967318  0.968666  0.967992  0.973383         0.965633   0.973383
      5395.08       0.967493          0.001957      0.969341  0.964775  0.969993  0.966732  0.967710  0.965427  0.966732  0.966080  0.970646         0.964775   0.970646
      5407.46       0.966039          0.001474      0.966530  0.963688  0.967477  0.964951  0.966214  0.964951  0.965583  0.965898  0.969056         0.963688   0.969056
      5419.85       0.966806          0.001554      0.966128  0.965517  0.968264  0.965517  0.967348  0.966128  0.964602  0.967958  0.969789         0.964602   0.969789
      5432.24       0.967678          0.001503      0.966401  0.966401  0.969054  0.966696  0.968170  0.967580  0.965517  0.968759  0.970528         0.965517   0.970528
      5444.63       0.970116          0.001647      0.968526  0.968813  0.970815  0.969099  0.971102  0.970815  0.967382  0.971674  0.972818         0.967382   0.972818
      5457.02       0.972407          0.001771      0.970556  0.970833  0.973889  0.970833  0.973333  0.972778  0.970000  0.974444  0.975000         0.970000   0.975000
      5469.42       0.975075          0.002150      0.973243  0.971892  0.976486  0.972973  0.975946  0.975946  0.973243  0.977838  0.978108         0.971892   0.978108
      5481.81       0.976693          0.002441      0.975198  0.972559  0.978364  0.974670  0.977309  0.976253  0.975462  0.979683  0.980739         0.972559   0.980739
      5494.20       0.977634          0.002830      0.976516  0.972387  0.979613  0.975484  0.977290  0.976516  0.977806  0.980387  0.982710         0.972387   0.982710
      5506.60       0.976124          0.003166      0.976040  0.969735  0.978058  0.974023  0.975788  0.974023  0.977554  0.978310  0.981589         0.969735   0.981589
      5519.00       0.973930          0.003815      0.974068  0.965918  0.976537  0.971598  0.973080  0.971598  0.976784  0.975796  0.979995         0.965918   0.979995
      5531.40       0.970190          0.004202      0.970297  0.961603  0.973195  0.968124  0.968848  0.967399  0.973919  0.971263  0.977059         0.961603   0.977059
      5543.80       0.966806          0.004381      0.967384  0.957930  0.970220  0.965493  0.964547  0.963838  0.971402  0.966911  0.973529         0.957930   0.973529
      5556.20       0.962593          0.004287      0.962851  0.953796  0.966102  0.961922  0.959833  0.960297  0.967030  0.962387  0.969120         0.953796   0.969120
      5568.60       0.959711          0.004077      0.959509  0.951774  0.962693  0.960191  0.956324  0.957689  0.964513  0.958826  0.965878         0.951774   0.965878
      5581.01       0.957297          0.003705      0.956134  0.951236  0.959920  0.958584  0.952794  0.955466  0.961479  0.956802  0.963260         0.951236   0.963260
      5593.42       0.956527          0.003182      0.954754  0.952131  0.958251  0.959344  0.951694  0.955410  0.960000  0.956066  0.961093         0.951694   0.961093
      5605.82       0.957401          0.003014      0.954389  0.954604  0.958692  0.961059  0.952453  0.956325  0.959768  0.957616  0.961704         0.952453   0.961704
      5618.23       0.959001          0.002832      0.955485  0.958017  0.959494  0.963080  0.954219  0.958017  0.960127  0.959494  0.963080         0.954219   0.963080
      5630.64       0.961971          0.002621      0.958463  0.962201  0.962201  0.966563  0.957840  0.960540  0.962409  0.962617  0.964901         0.957840   0.966563
      5643.05       0.965086          0.002570      0.961924  0.966223  0.964995  0.969498  0.961515  0.962743  0.964585  0.966223  0.968066         0.961515   0.969498
      5655.46       0.968962          0.002442      0.966519  0.970553  0.968334  0.973175  0.966519  0.966115  0.967527  0.969746  0.972166         0.966115   0.973175
      5667.88       0.972019          0.002200      0.970478  0.973251  0.971468  0.976025  0.970478  0.968892  0.970279  0.972459  0.974837         0.968892   0.976025
      5680.29       0.974146          0.001927      0.973474  0.974839  0.973279  0.977180  0.973474  0.970743  0.972499  0.975034  0.976790         0.970743   0.977180
      5692.71       0.976206          0.001810      0.975971  0.976163  0.975394  0.978085  0.976355  0.972703  0.974625  0.977316  0.979239         0.972703   0.979239
      5705.12       0.977205          0.001753      0.977436  0.976678  0.976299  0.977816  0.977436  0.974213  0.975540  0.978764  0.980660         0.974213   0.980660
      5717.54       0.978119          0.001741      0.978285  0.976788  0.977537  0.976788  0.978660  0.976039  0.976975  0.980344  0.981655         0.976039   0.981655
      5729.96       0.978366          0.002170      0.977975  0.976495  0.978901  0.974459  0.978716  0.977420  0.978160  0.980751  0.982417         0.974459   0.982417
      5742.38       0.977118          0.003056      0.977281  0.975082  0.979113  0.970136  0.976915  0.976731  0.977831  0.979113  0.981861         0.970136   0.981861
      5754.81       0.974156          0.004976      0.974801  0.971900  0.978608  0.961929  0.973532  0.974619  0.976432  0.974982  0.980602         0.961929   0.980602
      5767.23       0.967797          0.007638      0.969975  0.964941  0.976088  0.949119  0.966739  0.968716  0.971773  0.966379  0.976447         0.949119   0.976447
      5779.65       0.954791          0.011572      0.959900  0.950454  0.968455  0.927820  0.953484  0.954375  0.961861  0.949207  0.967564         0.927820   0.968455
      5792.08       0.932276          0.017365      0.943206  0.924982  0.953645  0.894904  0.930998  0.927813  0.944091  0.919498  0.951345         0.894904   0.953645
      5804.51       0.894454          0.025727      0.915290  0.881195  0.926011  0.845167  0.893849  0.881722  0.912830  0.870475  0.923550         0.845167   0.926011
      5816.94       0.835958          0.036315      0.871414  0.813331  0.879461  0.774843  0.835549  0.811931  0.862316  0.797411  0.877362         0.774843   0.879461
      5829.37       0.753638          0.047410      0.805357  0.719429  0.808488  0.683597  0.754044  0.715603  0.788659  0.699948  0.807619         0.683597   0.808488
      5841.80       0.649946          0.056240      0.716193  0.604889  0.712899  0.575936  0.650312  0.599861  0.691574  0.584258  0.713592         0.575936   0.716193
      5854.23       0.533230          0.059497      0.607803  0.481788  0.598136  0.462282  0.532367  0.477300  0.577076  0.462800  0.599517         0.462282   0.607803
      5866.66       0.416126          0.056284      0.490098  0.364732  0.476149  0.353883  0.414672  0.361460  0.456690  0.349406  0.478044         0.349406   0.490098
      5879.10       0.310966          0.047945      0.376503  0.265544  0.360357  0.260907  0.309000  0.263483  0.344899  0.254380  0.363621         0.254380   0.376503
      5891.54       0.224569          0.037570      0.277644  0.187843  0.262706  0.186985  0.222356  0.187157  0.250343  0.180632  0.265453         0.180632   0.277644
      5903.97       0.159466          0.027350      0.198970  0.131845  0.186781  0.133047  0.157425  0.132017  0.177854  0.128069  0.189185         0.128069   0.198970
      5916.41       0.112984          0.019199      0.141187  0.093379  0.131900  0.094583  0.111264  0.093723  0.125537  0.091316  0.133964         0.091316   0.141187
      5928.85       0.080505          0.013143      0.100104  0.066966  0.093200  0.067829  0.079565  0.067484  0.088540  0.065758  0.095098         0.065758   0.100104
      5941.29       0.058206          0.009022      0.071639  0.048742  0.066782  0.049610  0.057415  0.049436  0.063834  0.048049  0.068344         0.048049   0.071639
      5953.74       0.043136          0.006251      0.052622  0.036417  0.048963  0.036766  0.042690  0.037289  0.047046  0.036417  0.050009         0.036417   0.052622
      5966.18       0.032706          0.004471      0.039271  0.028051  0.036992  0.028401  0.032609  0.028226  0.035238  0.027700  0.037868         0.027700   0.039271
      5978.63       0.025427          0.002989      0.029796  0.022214  0.028385  0.022214  0.025388  0.022567  0.026975  0.022391  0.028914         0.022214   0.029796
      5991.07       0.019836          0.002211      0.023248  0.017569  0.021828  0.017214  0.019876  0.017924  0.020941  0.017569  0.022360         0.017214   0.023248
      6003.52       0.016318          0.001753      0.018737  0.014454  0.018023  0.014454  0.016417  0.014989  0.017309  0.014097  0.018380         0.014097   0.018737
      6015.97       0.013276          0.001254      0.015249  0.012020  0.014173  0.011841  0.013455  0.012200  0.013994  0.011841  0.014711         0.011841   0.015249
      6028.42       0.011109          0.000959      0.012453  0.010287  0.011911  0.010107  0.011189  0.009926  0.011731  0.010107  0.012272         0.009926   0.012453
      6040.87       0.009709          0.000690      0.010696  0.009065  0.010152  0.009246  0.009790  0.009065  0.009971  0.008702  0.010696         0.008702   0.010696
      6053.32       0.008204          0.000637      0.009298  0.007657  0.008751  0.007657  0.008022  0.007840  0.008387  0.007293  0.008933         0.007293   0.009298
      6065.78       0.007382          0.000546      0.008236  0.007138  0.008053  0.006772  0.007321  0.006955  0.007504  0.006589  0.007870         0.006589   0.008236
      6078.23       0.006643          0.000382      0.006990  0.006255  0.006990  0.006255  0.006623  0.006439  0.006990  0.006071  0.007174         0.006071   0.007174
      6090.69       0.005990          0.000277      0.006462  0.005724  0.006278  0.005908  0.006093  0.005724  0.006093  0.005539  0.006093         0.005539   0.006462
      6103.15       0.005006          0.000290      0.005377  0.004821  0.005377  0.004636  0.005006  0.004821  0.005006  0.004636  0.005377         0.004636   0.005377
      6115.61       0.005324          0.000277      0.005758  0.005201  0.005201  0.005015  0.005572  0.005386  0.005386  0.004829  0.005572         0.004829   0.005758
      6128.07       0.004949          0.000234      0.005218  0.004473  0.005218  0.005032  0.005032  0.004659  0.005032  0.004845  0.005032         0.004473   0.005218
      6140.53       0.004679          0.000223      0.004844  0.004472  0.004844  0.004285  0.004658  0.004658  0.004844  0.004472  0.005031         0.004285   0.005031
      6152.99       0.004276          0.000163      0.004297  0.003923  0.004483  0.004297  0.004297  0.004110  0.004483  0.004297  0.004297         0.003923   0.004483
      6165.46       0.004098          0.000138      0.004306  0.004118  0.004306  0.004118  0.003931  0.003931  0.003931  0.004118  0.004118         0.003931   0.004306
      6177.92       0.003838          0.000236      0.004130  0.003942  0.003942  0.003754  0.003942  0.003567  0.003754  0.003379  0.004130         0.003379   0.004130
      6190.39       0.003742          0.000165      0.004139  0.003575  0.003763  0.003763  0.003763  0.003763  0.003763  0.003575  0.003575         0.003575   0.004139
      6202.86       0.003546          0.000195      0.003777  0.003588  0.003588  0.003399  0.003399  0.003211  0.003777  0.003399  0.003777         0.003211   0.003777
      6215.33       0.003264          0.000119      0.003032  0.003411  0.003411  0.003222  0.003411  0.003222  0.003222  0.003222  0.003222         0.003032   0.003411
      6227.80       0.003622          0.000156      0.003622  0.003622  0.003622  0.003431  0.004003  0.003622  0.003622  0.003431  0.003622         0.003431   0.004003
      6240.27       0.003306          0.000176      0.003264  0.003072  0.003264  0.003072  0.003456  0.003264  0.003456  0.003264  0.003648         0.003072   0.003648
      6252.74       0.002926          0.000169      0.002711  0.002905  0.003292  0.003098  0.002905  0.002905  0.002905  0.002711  0.002905         0.002711   0.003292
      6265.22       0.003193          0.000184      0.003518  0.003127  0.002932  0.002932  0.003127  0.003323  0.003323  0.003127  0.003323         0.002932   0.003518
      6277.70       0.003005          0.000155      0.003158  0.002961  0.003158  0.002764  0.003158  0.003158  0.002764  0.002961  0.002961         0.002764   0.003158
      6290.17       0.002992          0.000094      0.003191  0.002992  0.002992  0.002992  0.002992  0.002992  0.002992  0.002792  0.002992         0.002792   0.003191
      6302.65       0.002838          0.000200      0.002815  0.003016  0.002614  0.002614  0.003016  0.002815  0.003217  0.002614  0.002815         0.002614   0.003217
      6315.13       0.003090          0.000159      0.003045  0.003045  0.003045  0.003248  0.003248  0.003248  0.002842  0.002842  0.003248         0.002842   0.003248
      6327.61       0.002504          0.000161      0.002663  0.002663  0.002459  0.002254  0.002663  0.002254  0.002459  0.002459  0.002663         0.002254   0.002663
      6340.09       0.003125          0.000152      0.003102  0.003309  0.003102  0.002896  0.003102  0.003102  0.003309  0.002896  0.003309         0.002896   0.003309
