# OGLE-IV I-band filter
# Asahi Spectra Co., Ltd
# measurements in 9 spots on the filter
#
#        1              2                 3             4         5         6         7         8         9        10        11        12              13         14
# wavelength[A]   mean_transmission  standard_dev     spot1     spot2     spot3     spot4     spot5     spot6     spot7     spot8     spot9          minimal    maximal 
#
      5816.94       0.000686          0.000154      0.000705  0.000705  0.000882  0.000529  0.000705  0.000882  0.000353  0.000705  0.000705         0.000353   0.000882
      5829.37       0.000780          0.000168      0.000526  0.000877  0.000702  0.000877  0.000526  0.000877  0.001053  0.000877  0.000702         0.000526   0.001053
      5841.80       0.000874          0.000082      0.001049  0.000874  0.000874  0.000874  0.000699  0.000874  0.000874  0.000874  0.000874         0.000699   0.001049
      5854.23       0.000909          0.000109      0.000870  0.000870  0.000870  0.000870  0.000870  0.000696  0.001044  0.001044  0.001044         0.000696   0.001044
      5866.66       0.000675          0.000128      0.000695  0.000521  0.000868  0.000695  0.000695  0.000521  0.000521  0.000868  0.000695         0.000521   0.000868
      5879.10       0.000809          0.000082      0.000867  0.000867  0.000867  0.000694  0.000694  0.000867  0.000867  0.000867  0.000694         0.000694   0.000867
      5891.54       0.000808          0.000141      0.000866  0.000866  0.000866  0.000866  0.000693  0.000693  0.000520  0.000866  0.001039         0.000520   0.001039
      5903.97       0.000693          0.000115      0.000693  0.000693  0.000693  0.000866  0.000520  0.000866  0.000693  0.000520  0.000693         0.000520   0.000866
      5916.41       0.000502          0.000152      0.000521  0.000695  0.000521  0.000521  0.000347  0.000174  0.000521  0.000695  0.000521         0.000174   0.000695
      5928.85       0.000581          0.000142      0.000523  0.000697  0.000523  0.000523  0.000697  0.000871  0.000523  0.000349  0.000523         0.000349   0.000871
      5941.29       0.000855          0.000099      0.000875  0.001050  0.000875  0.000875  0.000875  0.000875  0.000700  0.000700  0.000875         0.000700   0.001050
      5953.74       0.000528          0.000117      0.000528  0.000528  0.000703  0.000352  0.000528  0.000352  0.000703  0.000528  0.000528         0.000352   0.000703
      5966.18       0.000668          0.000139      0.000884  0.000531  0.000708  0.000708  0.000531  0.000884  0.000531  0.000708  0.000531         0.000531   0.000884
      5978.63       0.000711          0.000119      0.000711  0.000711  0.000889  0.000711  0.000534  0.000711  0.000534  0.000889  0.000711         0.000534   0.000889
      5991.07       0.000855          0.000113      0.000716  0.000895  0.000895  0.000895  0.000716  0.000716  0.001074  0.000895  0.000895         0.000716   0.001074
      6003.52       0.000661          0.000085      0.000541  0.000721  0.000721  0.000721  0.000721  0.000721  0.000721  0.000541  0.000541         0.000541   0.000721
      6015.97       0.000786          0.000191      0.000544  0.000544  0.001089  0.001089  0.000907  0.000726  0.000726  0.000726  0.000726         0.000544   0.001089
      6028.42       0.000689          0.000188      0.000730  0.000912  0.000547  0.000912  0.000547  0.000730  0.000365  0.000547  0.000912         0.000365   0.000912
      6040.87       0.000855          0.000122      0.000733  0.001100  0.000916  0.000916  0.000916  0.000916  0.000733  0.000733  0.000733         0.000733   0.001100
      6053.32       0.000962          0.000209      0.000921  0.000737  0.001105  0.001105  0.000552  0.001105  0.001289  0.000921  0.000921         0.000552   0.001289
      6065.78       0.000534          0.000162      0.000555  0.000740  0.000555  0.000740  0.000185  0.000555  0.000370  0.000555  0.000555         0.000185   0.000740
      6078.23       0.000847          0.000155      0.001115  0.000744  0.000930  0.000930  0.000744  0.000930  0.000930  0.000558  0.000744         0.000558   0.001115
      6090.69       0.000705          0.000171      0.000560  0.000934  0.000747  0.000747  0.000934  0.000560  0.000747  0.000747  0.000373         0.000373   0.000934
      6103.15       0.000625          0.000177      0.000750  0.000375  0.000563  0.000563  0.000938  0.000750  0.000375  0.000750  0.000563         0.000375   0.000938
      6115.61       0.001002          0.000198      0.001127  0.000751  0.001315  0.001127  0.000751  0.001127  0.000939  0.001127  0.000751         0.000751   0.001315
      6128.07       0.000838          0.000201      0.000566  0.000566  0.000943  0.001131  0.000754  0.000754  0.001131  0.000754  0.000943         0.000566   0.001131
      6140.53       0.000776          0.000208      0.000755  0.000755  0.000944  0.000378  0.001133  0.000755  0.000944  0.000566  0.000755         0.000378   0.001133
      6152.99       0.000841          0.000130      0.000946  0.000946  0.000946  0.000946  0.000757  0.000757  0.000946  0.000757  0.000568         0.000568   0.000946
      6165.46       0.000737          0.000227      0.000569  0.000948  0.000569  0.001137  0.000379  0.000569  0.000948  0.000758  0.000758         0.000379   0.001137
