18:33:35 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=ultranest_plane/run0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:33:43 [ultranest] [INFO] Sampling 400 live points from prior ...
18:33:43 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:33:43 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=3, min_num_live_points=400, cluster_num_live_points=40
18:33:43 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:33:48 [ultranest] [DEBUG] iteration=920, ncalls=9892, regioncalls=0, ndraw=40, logz=-348368.77, remainder_fraction=100.0000%, Lmin=-346366.22, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=938, ncalls=10144, regioncalls=0, ndraw=40, logz=-313579.51, remainder_fraction=100.0000%, Lmin=-312653.14, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=955, ncalls=10450, regioncalls=0, ndraw=40, logz=-292888.58, remainder_fraction=100.0000%, Lmin=-292822.57, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=960, ncalls=10512, regioncalls=0, ndraw=40, logz=-287007.56, remainder_fraction=100.0000%, Lmin=-286638.47, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=981, ncalls=10867, regioncalls=0, ndraw=40, logz=-238802.62, remainder_fraction=100.0000%, Lmin=-238723.74, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=995, ncalls=11091, regioncalls=0, ndraw=40, logz=-218582.15, remainder_fraction=100.0000%, Lmin=-218407.08, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=1000, ncalls=11178, regioncalls=0, ndraw=40, logz=-215561.73, remainder_fraction=100.0000%, Lmin=-214596.14, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=1013, ncalls=11388, regioncalls=0, ndraw=40, logz=-200645.84, remainder_fraction=100.0000%, Lmin=-200568.66, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=1027, ncalls=11631, regioncalls=0, ndraw=40, logz=-167204.37, remainder_fraction=100.0000%, Lmin=-166779.49, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=1040, ncalls=11809, regioncalls=0, ndraw=40, logz=-160833.08, remainder_fraction=100.0000%, Lmin=-159661.24, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=1056, ncalls=12069, regioncalls=0, ndraw=40, logz=-147398.04, remainder_fraction=100.0000%, Lmin=-147020.31, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=1077, ncalls=12383, regioncalls=0, ndraw=40, logz=-138086.24, remainder_fraction=100.0000%, Lmin=-136893.90, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=1080, ncalls=12426, regioncalls=0, ndraw=40, logz=-135651.24, remainder_fraction=100.0000%, Lmin=-135005.65, Lmax=-0.46
