weight logl A B $log(f)$
0.000000000000000000e+00 -2.420199096765703261e+08 -5.813092752671684238e+00 2.884539846646158878e+01 -6.701489385166171431e+00
0.000000000000000000e+00 -2.418724563217089474e+08 6.791794736276592914e+00 7.131668956546455718e+00 -5.662428058341861359e+00
0.000000000000000000e+00 -2.408955170494837165e+08 5.923091463711298132e+00 3.769336746143531514e+01 -9.383604097318094972e+00
0.000000000000000000e+00 -2.387045419911640882e+08 7.129052804482157057e+00 -1.010747998310104379e+01 -9.328862207901947201e+00
0.000000000000000000e+00 -2.375862381835309863e+08 -5.233918437014885683e+00 8.319083475154158691e+00 -6.451372730024252711e+00
0.000000000000000000e+00 -2.261912464854093194e+08 7.413066420122039091e+00 6.952696645608455128e+00 -4.313476268111972267e+00
0.000000000000000000e+00 -2.231192012654732168e+08 -5.693914939905562633e+00 3.378392245042203967e+01 -8.133903139627493672e+00
0.000000000000000000e+00 -2.213615007135954201e+08 -4.993044258343084962e+00 7.439821215547326005e+00 -7.432286169794113384e+00
0.000000000000000000e+00 -2.195412113143624365e+08 -8.402658161013679461e+00 2.523012464850538095e+01 -3.585426622642570393e+00
0.000000000000000000e+00 -2.181449693316952586e+08 5.648489417746811014e+00 3.719131970670457576e+01 -7.573185172631433204e+00
0.000000000000000000e+00 -2.172898839779494703e+08 -5.700031251292752010e+00 3.696446403543188808e+01 -8.900524436149011009e+00
0.000000000000000000e+00 -2.165569565298061371e+08 -4.818402367767005146e+00 -2.360131953516861714e+01 -4.435334003701850492e+00
0.000000000000000000e+00 -2.164449601206305623e+08 -5.495753460820496095e+00 2.913598249351743164e+01 -6.661470761039285371e+00
0.000000000000000000e+00 -2.163096618032857776e+08 -4.929520774841149588e+00 1.843024928192320999e+00 -5.239518672012188460e+00
0.000000000000000000e+00 -2.104768199036575258e+08 7.487309370933065367e+00 -3.803340974494832949e+01 -8.231635052052947543e+00
0.000000000000000000e+00 -2.103923656097613573e+08 6.307794020233956189e+00 3.703278604592088641e+01 -4.376408744855208255e+00
0.000000000000000000e+00 -2.100043280181095004e+08 6.432995219454774372e+00 2.578811523028356589e+00 -9.677069694441920333e+00
0.000000000000000000e+00 -2.024135709098907709e+08 9.288000755611690806e+00 -3.354249537420940186e+01 -3.800613012888048203e+00
0.000000000000000000e+00 -1.988290217797028422e+08 -5.224352184768785712e+00 2.781332511569678445e+01 -6.774345784014849770e+00
0.000000000000000000e+00 -1.974236053735355735e+08 5.439231420502654402e+00 3.478167041517035329e+01 -6.783003600165962155e+00
0.000000000000000000e+00 -1.938492762467776239e+08 -5.167821308786272994e+00 2.852801891651705546e+01 -8.715302673811367029e+00
0.000000000000000000e+00 -1.929950206022553742e+08 8.682084089195111432e+00 -7.614105177183958517e+00 -3.730278033708644081e+00
0.000000000000000000e+00 -1.927279802588043511e+08 -3.455776171927354312e+00 -3.747283917007658260e+01 -6.796463557324338822e+00
0.000000000000000000e+00 -1.909133634180822968e+08 -4.477825012783325676e+00 3.273623632162426134e+00 -7.285823091719833222e+00
0.000000000000000000e+00 -1.905737270286909640e+08 -3.662735610661210117e+00 -2.805805926269688655e+01 -8.255467577832272141e+00
0.000000000000000000e+00 -1.892496522183234990e+08 7.284688523854736530e+00 -3.375814460156951924e+01 -5.061176621589877023e+00
0.000000000000000000e+00 -1.892255256987097859e+08 -5.096564670064633873e+00 2.824296044417707208e+01 -8.063720805463669095e+00
0.000000000000000000e+00 -1.873794522598438561e+08 6.469023392131980188e+00 -1.078917721350620695e+01 -9.186212813207028205e+00
0.000000000000000000e+00 -1.865805552243877053e+08 6.215033661923857977e+00 1.788499864887185709e+00 -5.505260188623556594e+00
