A B $log(f)$
4.555344344900031928e-01 1.819619688058999429e+01 -2.474928420965312625e+00
3.262423370086224850e-01 2.319627882806734220e+01 -2.484860947785914043e+00
6.577388080312100982e-01 1.032219780211980265e+01 -2.231603775037761750e+00
2.432152593140717300e-01 2.630045691728861357e+01 -1.611101592534341265e+00
4.140101224313958994e-01 1.979363239448892386e+01 -2.509545214716034423e+00
5.237811798838780675e-01 1.552707283520872750e+01 -2.149462518668881827e+00
4.978514034458232373e-01 1.651543139734131671e+01 -2.557344632989217104e+00
4.829500946459006627e-01 1.705534316443585396e+01 -1.382682137502811770e+00
2.973327531420721925e-01 2.435679084829951080e+01 -1.908894166677745474e+00
5.251512230513810664e-01 1.542079512528673746e+01 -1.927984473189193082e+00
3.167032664356632665e-01 2.367177545734324440e+01 -1.778871590867449726e+00
4.079477696563653666e-01 2.000234713534159425e+01 -2.347759187522440172e+00
5.513995332401648852e-01 1.450082998696957759e+01 -2.061497174068164462e+00
1.965706877620920778e-01 2.808394182773957937e+01 -1.669524405402562195e+00
3.853601815500624639e-01 2.089015130820524035e+01 -2.505752767097378708e+00
6.805610006442393001e-01 9.478495193848068823e+00 -1.327962773884983960e+00
4.593598045882103520e-01 1.807592586804717882e+01 -1.975076624276168147e+00
4.184846462983706772e-01 1.963479711622503032e+01 -2.165444629522039754e+00
1.985855680161989767e-01 2.820568851906422481e+01 -1.755912932077761113e+00
5.978886740781561571e-01 1.263063818836413787e+01 -1.528345496795987302e+00
3.793529471950112253e-01 2.109322676136359576e+01 -1.983150301584489128e+00
5.964025798932297562e-01 1.274606215542672061e+01 -2.442261441827671575e+00
7.598343935237306113e-01 6.352963587968574188e+00 -1.796853531926275949e+00
3.409356382417971787e-01 2.259516962129985984e+01 -2.024394532303709582e+00
4.833720773439189600e-01 1.708743178160516862e+01 -2.431711811798001222e+00
3.819333903192969615e-01 2.106292171788264511e+01 -2.102886456301646056e+00
3.822486616831213269e-01 2.111157179698033559e+01 -1.676991439148821428e+00
3.085653178695952903e-01 2.385400762589626567e+01 -2.038843568604477241e+00
4.433659646086045569e-01 1.868798515402468041e+01 -1.719981278774218580e+00
3.994448071627587638e-01 2.024459321760539865e+01 -2.092119457813513606e+00
3.942270975496331431e-01 2.050937636729912583e+01 -2.234953637854093955e+00
5.129701379307753939e-01 1.582119662771783908e+01 -1.983470310141026260e+00
4.877110637028803097e-01 1.694453839365996828e+01 -2.520438141240529006e+00
2.121749018773755324e-01 2.758168339075824349e+01 -1.768596823849925670e+00
3.304514159339078105e-01 2.299142573668844847e+01 -1.790640784574627276e+00
5.797368784443257539e-01 1.343636428748828848e+01 -2.020627032506680187e+00
7.684644911383102794e-01 5.984417305170438794e+00 -1.738997872569720826e+00
