weight logl A B $log(f)$
0.000000000000000000e+00 -4.712587565391085148e+08 7.684905334098379726e-02 9.942034343461167989e-01 3.448612333019563936e-01
0.000000000000000000e+00 -4.701639717815133333e+08 1.670347126469000631e-01 1.318880472877019816e-01 2.380371840310304687e-01
0.000000000000000000e+00 -4.696817998955639601e+08 9.779360610562537470e-01 3.699862894477101705e-01 3.731515214108759304e-01
0.000000000000000000e+00 -4.557706627078117132e+08 1.683823163133323364e-01 1.808450051400185554e-01 2.540482688432305070e-01
0.000000000000000000e+00 -4.522182658563554883e+08 1.241664507808680762e-01 6.259905755261845339e-01 1.372653511714144736e-01
0.000000000000000000e+00 -4.455266074026294351e+08 1.504064797724092850e-01 4.012478511336361464e-01 5.186640779005169399e-02
0.000000000000000000e+00 -4.447483730734844208e+08 1.893784000951084234e-01 5.140555196159191098e-04 4.074331490357663288e-01
0.000000000000000000e+00 -4.410731240648004413e+08 9.444078036254233144e-02 8.608230659376606697e-01 4.759161164706355862e-01
0.000000000000000000e+00 -4.340555038974311948e+08 9.906821752783330215e-01 1.146744215321902072e-01 4.263448630372022041e-01
0.000000000000000000e+00 -4.325428508481304646e+08 8.953946449750023184e-01 9.948613760167199782e-01 2.731915397274820023e-01
0.000000000000000000e+00 -4.146111217509917021e+08 1.076567155875086668e-01 9.544275513159730107e-01 1.144522845511363185e-01
0.000000000000000000e+00 -4.125017650913750529e+08 9.537770537836525175e-01 3.384398862945268149e-01 2.800244371057397652e-01
0.000000000000000000e+00 -4.112161534995195866e+08 9.425850846674759254e-01 4.407477619976036820e-01 2.735688914131823024e-01
0.000000000000000000e+00 -4.070128499208950996e+08 1.050756813018051128e-01 9.846009068416705645e-01 4.155212854651841869e-01
0.000000000000000000e+00 -4.063716589056489468e+08 9.550182715820614288e-01 2.978560560873136920e-01 2.717539050760662267e-01
0.000000000000000000e+00 -3.962004944198212624e+08 1.220267859384924769e-01 9.002555482355356631e-01 1.695018368122340746e-01
0.000000000000000000e+00 -3.933077281093024611e+08 9.938899995617868077e-01 2.686778370527806992e-01 5.512708468686633445e-01
0.000000000000000000e+00 -3.881273110289975405e+08 9.669465517258483134e-01 9.525557143045559894e-02 9.061163338370814557e-03
0.000000000000000000e+00 -3.874962999325281382e+08 9.082487596651780404e-01 9.247256265053949154e-01 5.281459292256465154e-01
0.000000000000000000e+00 -3.862918136256679296e+08 2.122905306049721608e-01 7.244524603824598064e-02 4.262457797478835797e-02
0.000000000000000000e+00 -3.799740790998012424e+08 1.998329025798391001e-01 2.141868345842948829e-01 3.575301978769099831e-01
0.000000000000000000e+00 -3.764458563967192769e+08 9.703861048370563402e-01 2.322220012490050500e-02 3.891459217567732054e-01
0.000000000000000000e+00 -3.693459274291106462e+08 1.728914012254035848e-01 5.578060871920698105e-02 5.615603621039559901e-01
0.000000000000000000e+00 -3.660250220432055593e+08 1.459033092231045714e-01 8.128782033703371157e-01 1.886082849927339655e-01
0.000000000000000000e+00 -3.634147527740044594e+08 9.416527166781036851e-01 2.215541914733716311e-01 6.093546015735409882e-02
0.000000000000000000e+00 -3.627390356538739204e+08 1.842678364826549897e-01 2.038783692635038891e-01 5.278550064296926303e-01
0.000000000000000000e+00 -3.626884122180969715e+08 2.310853323199620335e-01 3.994600543069437570e-03 7.115706761960591265e-02
0.000000000000000000e+00 -3.590468356657140255e+08 1.067134877674228433e-01 4.093626058542703117e-01 5.922400181093567806e-01
0.000000000000000000e+00 -3.587937946647558212e+08 1.490784419703482522e-01 8.174335624942087319e-01 2.005712905676012570e-01
0.000000000000000000e+00 -3.581711918743041158e+08 2.230653315948385174e-01 1.004157116719192611e-01 3.113011496096623754e-01
0.000000000000000000e+00 -3.578523215522586107e+08 8.783051046649539284e-01 8.596905008553563654e-01 4.463633017032087036e-01
0.000000000000000000e+00 -3.470135377273665667e+08 2.049148451483050470e-01 3.351624219922606507e-01 4.551126023754448191e-02
0.000000000000000000e+00 -3.407934242315689325e+08 1.987777151692834421e-01 4.258528227787029552e-01 1.077896464894332329e-01
0.000000000000000000e+00 -3.364165402870870233e+08 8.886681332788005649e-01 6.018086106409109570e-01 2.655556768434613746e-01
0.000000000000000000e+00 -3.348507946848735213e+08 2.401430590472246607e-01 2.869550832260403528e-02 4.145043861200965463e-01
0.000000000000000000e+00 -3.326326357231896520e+08 9.100072393716926999e-01 3.773627686465930164e-01 3.051880170934437864e-01
0.000000000000000000e+00 -3.308658100015748739e+08 9.782533909203594558e-01 4.442383588957862228e-01 5.888442399828139884e-01
0.000000000000000000e+00 -3.243147495871558785e+08 2.072465304315962431e-01 4.252816265720358313e-01 3.023893097832281995e-01
0.000000000000000000e+00 -3.206461664230722189e+08 1.826558898645028739e-01 6.839831912357243748e-01 2.689618788622910595e-01
0.000000000000000000e+00 -3.140586347638209462e+08 9.198313970315596944e-02 7.775997220464557769e-01 5.963205401103752745e-01
0.000000000000000000e+00 -3.102415123524238467e+08 8.482549444397680105e-01 8.791361096095630101e-01 4.087220804999492918e-01
0.000000000000000000e+00 -3.085803866235627532e+08 1.711367770324617732e-01 7.222203109882799899e-01 5.004208306214310564e-01
0.000000000000000000e+00 -3.085605531242059469e+08 1.362877861345302977e-01 6.402123140664254253e-01 5.748633616000058399e-01
0.000000000000000000e+00 -3.049863881314535737e+08 8.769801164335699895e-01 5.501032467183256669e-01 4.226504227774086075e-02
0.000000000000000000e+00 -3.028503970511738062e+08 9.096183764592414844e-01 2.223861451615225526e-01 9.626053300081705011e-03
0.000000000000000000e+00 -2.984564609174973369e+08 1.292745003140161053e-01 9.833062143738047212e-01 5.481306435681992939e-01
0.000000000000000000e+00 -2.943497257334752083e+08 1.409101561743842934e-01 4.376389425690926371e-01 5.961396055212847545e-01
0.000000000000000000e+00 -2.941092970648516417e+08 9.532990750200301955e-01 7.835132444730716905e-01 6.117134756377472504e-01
0.000000000000000000e+00 -2.934098389453895092e+08 9.429413652918848809e-01 4.160296952161127160e-02 5.190570806462398989e-01
0.000000000000000000e+00 -2.916588617433407903e+08 1.947761850975288089e-01 3.273059257146101464e-01 5.574001415508254009e-01
