logz logzerr logvol nlive logl logwt insert_order
-4.070128560686093569e+08 6.855621287904326804e+06 -1.575000000000000844e-01 4.000000000000000000e+02 -4.063716589056489468e+08 -4.063716650558632612e+08 1.770000000000000018e+00
-4.063716650558632612e+08 7.185061704777579755e+06 -1.600000000000000866e-01 4.000000000000000000e+02 -3.962004944198212624e+08 -3.962005005725355744e+08 1.024999999999999911e+00
-3.962005005725355744e+08 5.554613319268402644e+06 -1.625000000000000888e-01 4.000000000000000000e+02 -3.933077281093024611e+08 -3.933077342645167708e+08 7.299999999999999822e-01
-3.933077342645167708e+08 1.078070754012237070e+06 -1.650000000000000910e-01 4.000000000000000000e+02 -3.881273110289975405e+08 -3.881273171867118478e+08 8.050000000000000488e-01
-3.881273171867118478e+08 2.590208215253317729e+06 -1.675000000000000933e-01 4.000000000000000000e+02 -3.874962999325281382e+08 -3.874963060927424431e+08 1.659999999999999920e+00
-3.874963060927424431e+08 2.438985904125574511e+06 -1.700000000000000955e-01 4.000000000000000000e+02 -3.862918136256679296e+08 -3.862918197883822322e+08 1.794999999999999929e+00
-3.862918197883822322e+08 2.492362232925907243e+06 -1.725000000000000977e-01 4.000000000000000000e+02 -3.799740790998012424e+08 -3.799740852650155425e+08 7.299999999999999822e-01
-3.799740852650155425e+08 4.383732316139174625e+06 -1.750000000000000999e-01 4.000000000000000000e+02 -3.764458563967192769e+08 -3.764458625644335747e+08 1.010000000000000009e+00
-3.764458625644335747e+08 5.604785108156371862e+06 -1.775000000000001021e-01 4.000000000000000000e+02 -3.693459274291106462e+08 -3.693459335993249416e+08 1.074999999999999956e+00
-3.693459335993249416e+08 8.002946232182360254e+06 -1.800000000000001044e-01 4.000000000000000000e+02 -3.660250220432055593e+08 -3.660250282159198523e+08 4.499999999999999833e-02
-3.660250282159198523e+08 8.891510667793365195e+06 -1.825000000000001066e-01 4.000000000000000000e+02 -3.634147527740044594e+08 -3.634147589492187500e+08 2.449999999999999956e-01
-3.634147589492187500e+08 3.762550565871103667e+06 -1.850000000000001088e-01 4.000000000000000000e+02 -3.627390356538739204e+08 -3.627390418315882087e+08 1.735000000000000098e+00
