 ! Swift/XRT detailed lightcurve of trigger: 10977, name: Swift J005139.2-721704 
 ! T0 for this burst is Swift MET=153250381.8006 s, = 2005 Nov 09 at 17:33:01.970 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
56215.1534909034	0.677632002314815	-0.677632002314815	1.7665e-03	0.0000e+00	0.0000e+00	3.6850e-05	2.5490e-06	0.0695
56216.4290198116	0.400010555555556	-0.400010555555556	1.0933e-02	0.0000e+00	0.0000e+00	1.1157e-05	2.3264e-06	0.0244
56217.5938202089	0.107426689814815	-0.107426689814815	5.2829e-03	0.0000e+00	0.0000e+00	2.6292e-05	4.5769e-06	0.1293
56219.9961457027	0.778023032407407	-0.778023032407407	1.3409e-03	0.0000e+00	0.0000e+00	1.3936e-05	1.0219e-06	0.1015
56222.0089375043	0.970775694444444	-0.970775694444444	1.5172e-03	0.0000e+00	0.0000e+00	1.6368e-05	1.2166e-06	0.0727
56223.0579894757	0.0377125694444444	-0.0377125694444444	1.6216e-02	0.0000e+00	0.0000e+00	4.5123e-05	1.8421e-05	0.1308
56224.0236139701	0.00264078703703704	-0.00264078703703704	2.5044e-02	0.0000e+00	0.0000e+00	5.5300e-05	1.9551e-05	1.0000
56226.6704575	0.643881238425926	-0.643881238425926	6.1572e-03	0.0000e+00	0.0000e+00	2.3715e-05	3.2574e-06	0.0244
56229.1428319867	0.427980833333333	-0.427980833333333	1.4187e-02	0.0000e+00	0.0000e+00	1.7528e-05	3.0512e-06	0.0230
56230.4454116585	0.341957025462963	-0.341957025462963	7.6608e-03	0.0000e+00	0.0000e+00	1.5665e-05	2.9089e-06	0.0336
56232.5397874413	0.435767523148148	-0.435767523148148	8.9099e-03	0.0000e+00	0.0000e+00	4.4017e-05	6.1636e-06	0.0353
