5504.57283  14.788 0.003
5505.57404  14.795 0.003
5506.57603  14.796 0.003
5507.56063  14.797 0.003
5508.54332  14.801 0.003
5509.53652  14.802 0.003
5510.57959  14.804 0.003
5511.56539  14.801 0.003
5512.55313  14.802 0.003
5513.55363  14.802 0.003
5514.61409  14.799 0.003
5515.55569  14.798 0.003
5516.54485  14.797 0.003
5517.54166  14.789 0.003
5518.55332  14.785 0.003
5519.55077  14.779 0.003
5521.55542  14.776 0.003
5522.56264  14.769 0.003
5523.58681  14.779 0.003
5525.52700  14.754 0.003
5526.55615  14.760 0.003
5527.55879  14.769 0.003
5529.52740  14.779 0.003
5530.57100  14.786 0.003
5533.53501  14.796 0.003
5534.57527  14.795 0.003
5535.57855  14.794 0.003
5539.56266  14.797 0.003
5540.56793  14.789 0.003
5542.53798  14.805 0.003
5544.59450  14.802 0.003
5546.53759  14.801 0.003
5547.57603  14.804 0.003
5550.58643  14.812 0.003
5551.57969  14.801 0.003
5554.57383  14.811 0.003
5556.58322  14.820 0.003
5558.56290  14.816 0.003
5561.54983  14.809 0.003
5563.55506  14.800 0.003
5567.55839  14.802 0.003
5570.61586  14.776 0.003
5573.54592  14.797 0.003
5578.54576  14.811 0.003
5581.54870  14.809 0.003
5583.54442  14.810 0.003
5592.53812  14.812 0.003
5699.87743  14.799 0.003
5700.92819  14.795 0.003
5724.85703  14.818 0.003
5725.90181  14.823 0.003
5727.94122  14.818 0.003
5729.91352  14.825 0.003
5734.93822  14.818 0.003
5737.91546  14.823 0.003
5740.90505  14.817 0.003
5740.93493  14.816 0.003
5743.89385  14.801 0.003
5744.91619  14.797 0.003
5746.88512  14.803 0.003
5748.92731  14.789 0.003
5753.94079  14.801 0.003
5756.79495  14.806 0.003
5757.80276  14.806 0.003
5757.83848  14.808 0.003
5761.81635  14.783 0.003
5765.83187  14.814 0.003
5766.84596  14.814 0.003
5767.87854  14.825 0.003
5768.87683  14.815 0.003
5770.87773  14.813 0.003
5776.87301  14.813 0.003
5777.90347  14.819 0.003
5782.86548  14.822 0.003
5783.68157  14.813 0.003
5785.74678  14.813 0.003
5786.79448  14.805 0.003
5787.78973  14.802 0.003
5788.80561  14.800 0.003
5790.90806  14.793 0.003
5793.81842  14.778 0.003
5794.81045  14.782 0.003
5795.82523  14.796 0.003
5796.75931  14.795 0.003
5798.83231  14.804 0.003
5801.77278  14.814 0.003
5802.76110  14.802 0.003
5803.74647  14.800 0.003
5804.82472  14.798 0.003
